,company,job_title,address,employment_type,seniority,category,salary,salary_period,requirements
0,MONEYSMART SINGAPORE PTE. LTD.,Data Engineer,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Full Time,Executive,Information Technology,"$5,000to$7,000",Monthly,"RequirementsCompetencies  Degree in Computer Science or any of their equivalents 2-3 years of relevant working experience Experience with Data Warehouse Modelling and SQL Experienced with ETL / ELT scripting and applications, preferably using Python Working knowledge of Stream processing and messaging queue Experience in clustering + replication as well as operating HA databases Background in running production databases where consistency is paramount  Bonus points  Experience with coding in Ruby on Rails Experience working on data analysis projects with business stakeholders   Cultural Values  Build a positive team and family spirit Be Humble Stay Hungry Do more with less and be super productive Always pursue learning and growth Engage, Disagree and Commit "
1,PORTCAST PTE. LTD.,Data Scientist,32 CARPENTER STREET 059911,Full Time,Middle Management,Engineering,"$2,200to$6,000",Monthly,"Requirements●  Comfortable working with large amounts of data: facts, figures, and number crunching ●  Strong understanding of machine learning models ●  Able to compare different predictive models on different data sets and generate reports ●  Smart and hardworking individual who can work under pressure within a tight deadline ●  A team player ●  As an early member of an ambitious startup, the growth opportunities will be aplenty"
2,SINGAPORE PRESS HOLDINGS LIMITED,Data Visualisation Designer,"NEWS CENTRE, 1000 TOA PAYOH NORTH 318994",Permanent,Junior Executive,Design,"$3,500to$4,500",Monthly,"Requirements Prior experience in a data visualization role Strong analytical and critical thinking skills Familiar with the latest digital storytelling trends Familiar with the common data APIs, facebook graph API, google API Bachelor’s degree in data science, mathematics, statistics, computer science strongly preferred Experienced with one or more common databases, SQL, scripting languages (R, Python, Perl) Working knowledge of interactive data storytelling/visualization tools (Tableau, Microsoft Excel) and web infrastructure (JavaScript frameworks, including jQuery) an advantage Experience in journalism (including internship) is an advantage  Please apply with your updated CV and design portfolio. "
3,GRABTAXI HOLDINGS PTE. LTD.,Data Analyst,"OUE DOWNTOWN, 6 SHENTON WAY 068809",Full Time,Executive,Information Technology,0,,"RequirementsThe must haves:  A Bachelor's/Masters degree, preferably in Analytics, Statistics, Economics or Engineering Minimum 1-5 years relevant work experience in an analytics or insights related role.  Above 5 years work experience with team management (experience) for Manager. Experience in business, strategy and/or tech consulting would be an advantage  Strong foundation in data query/manipulation using SQL and data visualisation using tools like Tableau.  Experience using R, Python or other tools for statistical analysis is a strong plus Effective communicator to both technical and business audiences Passionate about solving problems – possesses a relentless need for investigation and data exploration. Results and detail-oriented, with strong intuitions on how to solve problems creatively and quickly. "
4,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,Data Center Engineering Project Engineer APAC,"AIA TOWER, 1 ROBINSON ROAD 048542",Full Time,Professional,"Design, Engineering","$9,000to$12,000",Monthly,"RequirementsBasic Qualifications -  Minimum 5 years of mission critical design experience Bachelor’s degree in Mechanical/ Electrical engineering or relevant discipline. 3-5 years of experience in project management. In depth understanding of critical data center mechanical and electrical equipment.  Experience reading and interpreting design, equipment and construction specifications and drawings. Possess leadership and problem-solving skills.  Be a motivated, highly dependable individual.  Ability to research new designs, technologies, and construction methods of data center equipment and facilities.  An ability and willingness to think outside of the box to find creative and innovative solutions to reduce costs with no impact on quality and reliability.  Possess excellent communication skills, attention to detail, maintain high quality standards.  The ability to perform complex business case analysis to justify technical decisions and present the justification to management in a high level review. Must be fluent (read/write/speak) in English. Any other language is an advantage.  Preferred Qualifications -  8+ years of experience directly related to data center design  Professional Engineering license is preferable.  Master degree in Mechanical or Electrical engineering or relevant discipline. Understanding of international code requirements.  Experience with fast track design/build projects and or multiple significant upgrade projects. Fundamental knowledge of network design and layout. Knowledge of building codes and regulations. Experience across the region "
5,JOHNSON & JOHNSON PTE. LTD.,Lead Data Center Engineer,"ASCENT, 2 SCIENCE PARK DRIVE 118222",Permanent,Professional,"Engineering, Information Technology","$5,000to$10,000",Monthly,"RequirementsRequired Minimum Education:  Bachelor’s Degree or equivalent experience        Required Years of Related Experience:    5-7 Years Related Experience   Required Knowledge, Skills and Abilities:   Good technical knowledge and experience with converged infrastructure, switching / routing in a large and complex network, DHCP, DNS, IP (Schema, subnetting, summarization) IP management tools, network management applications, advanced WAN routing, WAN/LAN/Wireless LAN topologies, MPLS and other WAN technologies, unified Communication, IPT, traffic shaping / QoS, EIGRP/BGP, multimedia/VoIP solutions (SIP), firewalls, and contact center technology Strong knowledge of Routing and Switching systems; strong understanding of Routing Protocols (OSPF, EIGRP, and BGP) and Gateway Redundancy Protocols (HSRP, VRRP, and GLRP)  Strong knowledge of VoIP, Multicast, STP, VTP and Virtual LAN’s and Trunking (VLAN’s); Network Security (ACL’s, IPSec Tunnels), Firewalls (Security Appliances), Netflow, IPSLA, and VPN technologies Ability to configure/implement network changes in a data center environment Good experience translating business requirements into technical network solutions Proven experience in network and infrastructure planning and development Extensive experience managing technically complex telecommunication deployments and projects    Excellent written and oral communication skills Excellent interpersonal skills and ability to communicate effectively at all organizational levels Strong customer service focus Willingness to work some weekends and evenings to support implementations "
6,JABIL CIRCUIT (SINGAPORE) PTE. LTD.,Data Scientist - Intern (6 months),16 TAMPINES INDUSTRIAL CRESCENT 528604,Internship,Fresh/entry level,"Information Technology, Manufacturing, Others","$800to$1,500",Monthly,"RequirementsEducation & Experience Requirements Advanced degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field Ability to work on complex projects from model design to deployment Knowledge, experience, and expertise in diverse statistical and data mining techniques (e.g. - GLM/Regression, Boosting, Random Forest, Trees, Clustering, PCA, SVM, text mining, social network analysis etc.) Ability to program and review code in Python, Spark, Scala, R, or Power BI is highly desirable Experience with Big Data technologies like Hadoop, Spark, Hive, NoSQL, etc., and Cloud technologies (AWS, Azure, etc.) is a must Desire to work in a highly-collaborative environment Ability to work on multiple data science projects concurrently Bilingual in Chinese and English (high fluency) as the successful person will liaise with our counterpart in China Excellent communication skill and ability to work collaboratively in a dynamic environment"
7,ADECCO PERSONNEL PTE LTD,Data Engineer,"SHAW CENTRE, 1 SCOTTS ROAD 228208","Contract, Full Time",Executive,Information Technology,"$5,000to$8,500",Monthly,"RequirementsThe Talent  Minimum of 3 - 5 years of relevant experiences in developing Web applications with one frontend Web framework (React, Angular, Vue…) and AJAX calls Bachelors’ or Masters’ degree with Computer Science degree or related Good experience with front-end testing and deployment Experience with one backend server framework (Rails, Flask, Express.js…) Full stack development experience will be an advantage    Toh Wen Hui EA License No: 91C2918 Personnel Registration Number: R1767204 Tel: +65 6697 7881 Email: wenhui.toh@adecco.com"
8,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Data Center Fiber Optics Cabling Engineer,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025","Contract, Full Time",Non-executive,Information Technology,"$3,000to$5,000",Monthly,RequirementsUrgent & Immediate Position. Must have fiber optics cabling management experience. Shift work: 10AM to 10PM / 10PM to 10AM (4-3-3-4)
9,EDELMAN SINGAPORE PTE. LTD.,Data Analyst,0,Full Time,Senior Executive,Others,0,,"RequirementsQualifications You should have 1 to 2 years of professional experience and a Bachelor of Science or equivalent degree in computer science or statistics, proficiency with Microsoft Office, excellent organization skills, and the ability to adapt to change and meet deadlines. You must have a strong work ethic and dedication to consistently provide quality work. Previous internship experience is preferred.    The ideal candidate should have:  Experience in data gathering, data cleansing, data manipulation, data integration and data analysis. Experience in relational and non-relational database systems, proficient in querying using SQL. Experience in scripting languages, such as Python. Experience in data visualization and dashboarding tools, such as Domo, Tableau, Qlik, PowerBI. Experience in integrating various tools and solutions using interfaces, such as RESTful API. Strong analytical and problem solving skills. Strong written and verbal communication skills.  The candidate must be able to present technical and non-technical information to both senior management and peers in a clear, concise manner. Strong organizational skills and the ability to manage multiple projects. Excellent team player, experience working with cross-functional teams. Entrepreneurial spirit, self starter, comfortable with ambiguity and uncertainty. "
